,0
itching,0.016586485046296798
skin_rash,0.0073853999283665876
nodal_skin_eruptions,0.006671452112053033
continuous_sneezing,0.006446439873930429
shivering,0.006410709499751339
chills,0.010100406967164908
joint_pain,0.01712275156356171
stomach_pain,0.012818147215571597
acidity,0.006796681086533264
ulcers_on_tongue,0.0037256630077694675
muscle_wasting,0.007820449315151379
vomiting,0.013547729740882142
burning_micturition,0.007406279884461182
spotting_ urination,0.006080805977287305
fatigue,0.015049115164106007
weight_gain,0.0018009104595438806
anxiety,0.0026856633262034597
cold_hands_and_feets,0.002250487036398307
mood_swings,0.003217706056630526
weight_loss,0.009749589606960814
restlessness,0.006453351736089071
lethargy,0.0054882410084619295
patches_in_throat,0.00872898388181391
irregular_sugar_level,0.002719601890261654
cough,0.009505882530932746
high_fever,0.014086056925710742
sunken_eyes,0.007554934495575831
breathlessness,0.012693538274229808
sweating,0.012227204590866837
dehydration,0.007518478591839062
indigestion,0.003828398510948699
headache,0.012044949793713266
yellowish_skin,0.007532919217219441
dark_urine,0.017593039060126717
nausea,0.011373451444269099
loss_of_appetite,0.013563936124095823
pain_behind_the_eyes,0.008921275296221033
back_pain,0.011802726560964203
constipation,0.00433742311324274
abdominal_pain,0.01149057885858581
diarrhoea,0.012160964648466128
mild_fever,0.013941666221467338
yellow_urine,0.003108665000540878
yellowing_of_eyes,0.011900333740633835
acute_liver_failure,0.003689364927461975
fluid_overload,0.0
swelling_of_stomach,0.004434847765247019
swelled_lymph_nodes,0.008617969460504148
malaise,0.009445755517584902
blurred_and_distorted_vision,0.004467797816134689
phlegm,0.005743667529314086
throat_irritation,0.0032543135405910116
redness_of_eyes,0.0036845237776314877
sinus_pressure,0.0036923090966257594
runny_nose,0.002887635899298492
congestion,0.003288323240668523
chest_pain,0.01526182916029557
weakness_in_limbs,0.0036208190419303745
fast_heart_rate,0.0075183200626186995
pain_during_bowel_movements,0.007366121029219332
pain_in_anal_region,0.003799314255009515
bloody_stool,0.004760329187189405
irritation_in_anus,0.007353645933096116
neck_pain,0.009177639862717009
dizziness,0.009400194777039305
cramps,0.0048799486088346045
bruising,0.003705603568582949
obesity,0.0029476330322164928
swollen_legs,0.004602575203099088
swollen_blood_vessels,0.0015800101700796632
puffy_face_and_eyes,0.0010378307297444947
enlarged_thyroid,0.004347442908500687
brittle_nails,0.005296261217906767
swollen_extremeties,0.003096352662855442
excessive_hunger,0.004987308216117668
extra_marital_contacts,0.004034355842650234
drying_and_tingling_lips,0.002740714926746795
slurred_speech,0.006358702533169095
knee_pain,0.005200608717291742
hip_joint_pain,0.009028655350940927
muscle_weakness,0.009308019170525744
stiff_neck,0.007615455966415396
swelling_joints,0.004555835934587084
movement_stiffness,0.007354687287511167
spinning_movements,0.0050075737489103725
loss_of_balance,0.010723815243248953
unsteadiness,0.01203206218937493
weakness_of_one_body_side,0.006650246135446271
loss_of_smell,0.004376980543878507
bladder_discomfort,0.00983105336069508
foul_smell_of urine,0.002407661323802032
continuous_feel_of_urine,0.009960224392505936
passage_of_gases,0.010876507934051887
internal_itching,0.007698634181847318
toxic_look_(typhos),0.007753443642531563
depression,0.006728375736324913
irritability,0.006447822019154465
muscle_pain,0.018067379146562434
altered_sensorium,0.014795268898782308
red_spots_over_body,0.007633408951150111
belly_pain,0.007181894642717152
abnormal_menstruation,0.010455046619604377
dischromic _patches,0.010766225365313034
watering_from_eyes,0.006262258872166376
increased_appetite,0.008661686473816856
polyuria,0.005951397790314577
family_history,0.01233634600789771
mucoid_sputum,0.011986728586200422
rusty_sputum,0.013057494704745305
lack_of_concentration,0.008496717869360324
visual_disturbances,0.005862194064110913
receiving_blood_transfusion,0.007449122347030499
receiving_unsterile_injections,0.008715046246279863
coma,0.00926282178099348
stomach_bleeding,0.01039571879119059
distention_of_abdomen,0.006740182544708818
history_of_alcohol_consumption,0.005954853267467284
fluid_overload.1,0.005938924766476185
blood_in_sputum,0.006583108375606087
prominent_veins_on_calf,0.0070579194232839315
palpitations,0.0074901056418684095
painful_walking,0.006469537139571305
pus_filled_pimples,0.006829472058351117
blackheads,0.006711078023268829
scurring,0.007778609087752863
skin_peeling,0.004935522631640035
silver_like_dusting,0.004293071752112442
small_dents_in_nails,0.007371122156489467
inflammatory_nails,0.006195555053304933
blister,0.006319288185421699
red_sore_around_nose,0.006258563033155913
yellow_crust_ooze,0.010849730936657897
